Time resolution is 1 ps
Block Memory Generator module tb_dual_ram_controller.uut.uut_ram_5.inst.native_mem_module.blk_mem_gen_v8_4_9_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
blk_mem_gen_v8_4_9 collision detected at time: 2235000, Instance: tb_dual_ram_controller.uut.uut_ram_5.inst.native_mem_module.blk_mem_gen_v8_4_9_inst, A write address: 6e, B read address: 6e
blk_mem_gen_v8_4_9 collision detected at time: 2255000, Instance: tb_dual_ram_controller.uut.uut_ram_5.inst.native_mem_module.blk_mem_gen_v8_4_9_inst, A write address: 6f, B read address: 6f
blk_mem_gen_v8_4_9 collision detected at time: 2275000, Instance: tb_dual_ram_controller.uut.uut_ram_5.inst.native_mem_module.blk_mem_gen_v8_4_9_inst, A write address: 70, B read address: 70
blk_mem_gen_v8_4_9 collision detected at time: 2295000, Instance: tb_dual_ram_controller.uut.uut_ram_5.inst.native_mem_module.blk_mem_gen_v8_4_9_inst, A write address: 71, B read address: 71
blk_mem_gen_v8_4_9 collision detected at time: 2315000, Instance: tb_dual_ram_controller.uut.uut_ram_5.inst.native_mem_module.blk_mem_gen_v8_4_9_inst, A write address: 72, B read address: 72
blk_mem_gen_v8_4_9 collision detected at time: 2335000, Instance: tb_dual_ram_controller.uut.uut_ram_5.inst.native_mem_module.blk_mem_gen_v8_4_9_inst, A write address: 73, B read address: 73
blk_mem_gen_v8_4_9 collision detected at time: 2355000, Instance: tb_dual_ram_controller.uut.uut_ram_5.inst.native_mem_module.blk_mem_gen_v8_4_9_inst, A write address: 74, B read address: 74
blk_mem_gen_v8_4_9 collision detected at time: 2375000, Instance: tb_dual_ram_controller.uut.uut_ram_5.inst.native_mem_module.blk_mem_gen_v8_4_9_inst, A write address: 75, B read address: 75
blk_mem_gen_v8_4_9 collision detected at time: 2395000, Instance: tb_dual_ram_controller.uut.uut_ram_5.inst.native_mem_module.blk_mem_gen_v8_4_9_inst, A write address: 76, B read address: 76
blk_mem_gen_v8_4_9 collision detected at time: 2415000, Instance: tb_dual_ram_controller.uut.uut_ram_5.inst.native_mem_module.blk_mem_gen_v8_4_9_inst, A write address: 77, B read address: 77
blk_mem_gen_v8_4_9 collision detected at time: 2435000, Instance: tb_dual_ram_controller.uut.uut_ram_5.inst.native_mem_module.blk_mem_gen_v8_4_9_inst, A write address: 78, B read address: 78
blk_mem_gen_v8_4_9 collision detected at time: 2455000, Instance: tb_dual_ram_controller.uut.uut_ram_5.inst.native_mem_module.blk_mem_gen_v8_4_9_inst, A write address: 79, B read address: 79
blk_mem_gen_v8_4_9 collision detected at time: 2475000, Instance: tb_dual_ram_controller.uut.uut_ram_5.inst.native_mem_module.blk_mem_gen_v8_4_9_inst, A write address: 7a, B read address: 7a
blk_mem_gen_v8_4_9 collision detected at time: 2495000, Instance: tb_dual_ram_controller.uut.uut_ram_5.inst.native_mem_module.blk_mem_gen_v8_4_9_inst, A write address: 7b, B read address: 7b
blk_mem_gen_v8_4_9 collision detected at time: 2515000, Instance: tb_dual_ram_controller.uut.uut_ram_5.inst.native_mem_module.blk_mem_gen_v8_4_9_inst, A write address: 7c, B read address: 7c
blk_mem_gen_v8_4_9 collision detected at time: 2535000, Instance: tb_dual_ram_controller.uut.uut_ram_5.inst.native_mem_module.blk_mem_gen_v8_4_9_inst, A write address: 7d, B read address: 7d
blk_mem_gen_v8_4_9 collision detected at time: 2555000, Instance: tb_dual_ram_controller.uut.uut_ram_5.inst.native_mem_module.blk_mem_gen_v8_4_9_inst, A write address: 7e, B read address: 7e
blk_mem_gen_v8_4_9 collision detected at time: 2575000, Instance: tb_dual_ram_controller.uut.uut_ram_5.inst.native_mem_module.blk_mem_gen_v8_4_9_inst, A write address: 7f, B read address: 7f
blk_mem_gen_v8_4_9 collision detected at time: 2595000, Instance: tb_dual_ram_controller.uut.uut_ram_5.inst.native_mem_module.blk_mem_gen_v8_4_9_inst, A write address: 80, B read address: 80
blk_mem_gen_v8_4_9 collision detected at time: 2615000, Instance: tb_dual_ram_controller.uut.uut_ram_5.inst.native_mem_module.blk_mem_gen_v8_4_9_inst, A write address: 81, B read address: 81
blk_mem_gen_v8_4_9 collision detected at time: 2635000, Instance: tb_dual_ram_controller.uut.uut_ram_5.inst.native_mem_module.blk_mem_gen_v8_4_9_inst, A write address: 82, B read address: 82
